geneid,genename
ENSMUSG00000028010,Gar1
ENSMUSG00000026305,Lrrfip1
ENSMUSG00000040713,Creg1
ENSMUSG00000026895,Ndufa8
ENSMUSG00000004285,Atp6v1f
ENSMUSG00000091896,Ube2d2a
ENSMUSG00000067274,Rplp0
ENSMUSG00000040451,Sgms1
ENSMUSG00000049517,Rps23
ENSMUSG00000022174,Dad1
ENSMUSG00000023170,Gps2
ENSMUSG00000071451,Psmg4
ENSMUSG00000023175,Bsg
ENSMUSG00000004610,Etfb
ENSMUSG00000004612,Nkg7
ENSMUSG00000071632,2510002D24Rik
ENSMUSG00000040481,Bptf
ENSMUSG00000000861,Bcl11a
ENSMUSG00000027984,Hadh
ENSMUSG00000039515,Ppp2r4
ENSMUSG00000030216,Wbp11
ENSMUSG00000040466,Blvrb
ENSMUSG00000026260,Ndufa10
ENSMUSG00000040463,Mybbp1a
ENSMUSG00000027078,Ube2l6
ENSMUSG00000061838,Suclg2
ENSMUSG00000023967,Mrps18a
ENSMUSG00000029836,Cbx3
ENSMUSG00000040459,Arglu1
ENSMUSG00000022553,Maf1
ENSMUSG00000008475,Arpc5
ENSMUSG00000046402,Rbp1
ENSMUSG00000029545,Acads
ENSMUSG00000062169,Cnih4
ENSMUSG00000027533,Fabp5
ENSMUSG00000057130,Txnl4a
ENSMUSG00000021040,Slirp
ENSMUSG00000042747,Krtcap2
ENSMUSG00000028470,Hint2
ENSMUSG00000025204,Ndufb8
ENSMUSG00000028639,Ybx1
ENSMUSG00000022551,Cyc1
ENSMUSG00000022314,Rad21
ENSMUSG00000025337,Sbds
ENSMUSG00000023828,Slc22a3
ENSMUSG00000022427,Tomm22
ENSMUSG00000021486,Prelid1
ENSMUSG00000035199,Arl6ip5
ENSMUSG00000060063,Alox5ap
ENSMUSG00000034647,Ankrd12
ENSMUSG00000028832,Stmn1
ENSMUSG00000025511,Tspan4
ENSMUSG00000028837,Psmb2
ENSMUSG00000022312,Eif3h
ENSMUSG00000031197,Vbp1
ENSMUSG00000021270,Hsp90aa1
ENSMUSG00000031198,Fundc2
ENSMUSG00000005125,Ndrg1
ENSMUSG00000029076,Sdf4
ENSMUSG00000054342,Kcnn4
ENSMUSG00000006412,Pfdn2
ENSMUSG00000021242,Npc2
ENSMUSG00000021243,Fcf1
ENSMUSG00000090451,Gm6133
ENSMUSG00000021248,Tmed10
ENSMUSG00000038717,Atp5l
ENSMUSG00000023020,Cox14
ENSMUSG00000003435,Supt5
ENSMUSG00000056737,Capg
ENSMUSG00000040681,Hmgn1
ENSMUSG00000026473,Glul
ENSMUSG00000027907,S100a11
ENSMUSG00000003949,Hlf
ENSMUSG00000030120,Mlf2
ENSMUSG00000030127,Cops7a
ENSMUSG00000014554,Dguok
ENSMUSG00000019432,Ddx39b
